-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2025 in LST
Location: Latitude  -0.6282   Longitude 37.1084 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2115.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1990,21.37,20.55,20.78,19.07,19.71,17.36,15.78,15.36,20.41,20.1,20.77,20.05,19.27
ALLSKY_SFC_SW_DWN,1991,21.59,24.76,23.23,21.08,19.01,16.76,15.83,17.41,20.46,21.67,20.17,20.06,20.14
ALLSKY_SFC_SW_DWN,1992,22.1,23.88,23.49,20.48,19.1,16.55,15.78,16.49,20.2,20.01,20.25,19.57,19.81
ALLSKY_SFC_SW_DWN,1993,18.85,20.44,24.12,20.8,19.74,16.71,15.76,17.72,21.62,21.04,20.45,20.45,19.8
ALLSKY_SFC_SW_DWN,1994,22.81,23.8,23.58,21.51,19.26,18.06,17.25,16.09,20.56,22.18,19.61,19.86,20.36
ALLSKY_SFC_SW_DWN,1995,22.91,23.56,21.78,20.17,19.01,18.01,15.05,16.77,19.66,19.4,20.02,19.66,19.64
ALLSKY_SFC_SW_DWN,1996,21.61,22.96,22.02,21.81,18.5,14.13,13.66,16.97,19.88,21.35,18.39,21.46,19.39
ALLSKY_SFC_SW_DWN,1997,22.89,26.08,23.23,19.93,20.1,16.98,14.96,18.33,23.18,18.66,17.11,18.29,19.94
ALLSKY_SFC_SW_DWN,1998,18.06,21.59,22.69,20.89,19.6,16.76,14.07,15.09,19.68,21.24,18.59,21.42,19.12
ALLSKY_SFC_SW_DWN,1999,22.82,25.28,21.93,21.22,20.38,16.91,15.2,16.35,20.38,20.77,19.27,19.54,19.97
ALLSKY_SFC_SW_DWN,2000,23.6,26.54,23.75,22.27,19.61,16.37,16.19,16.7,20.38,21.7,18.25,20.83,20.49
ALLSKY_SFC_SW_DWN,2001,19.85,24.11,22.31,19.94,18.98,16.08,14.1,17.64,21.09,20.55,17.91,19.61,19.31
ALLSKY_SFC_SW_DWN,2002,20.88,24.58,21.95,19.24,18.79,16.85,17.41,15.16,22.16,20.51,20.61,19.16,19.74
ALLSKY_SFC_SW_DWN,2003,23.08,25.2,23.76,20.88,18.26,17.52,15.93,15.69,20.57,20.5,20.36,22.02,20.28
ALLSKY_SFC_SW_DWN,2004,20.66,21.46,22.52,19.24,19.62,16.8,18.36,17.35,20.95,19.93,19.26,21.13,19.77
ALLSKY_SFC_SW_DWN,2005,22.97,24.71,22.91,20.23,19.42,15.94,14.43,15.76,18.68,21.64,20.68,22.51,19.96
ALLSKY_SFC_SW_DWN,2006,22.18,22.74,22.35,19.94,19.4,18.23,13.96,17.76,19.67,20.9,18.13,18.28,19.44
ALLSKY_SFC_SW_DWN,2007,21.7,23.29,22.98,20.32,19.69,16.82,14.11,15.47,19.67,20.99,20.77,20.67,19.68
ALLSKY_SFC_SW_DWN,2008,21.93,23.55,21.79,21.01,19.79,16.58,14.1,16.99,21.19,19.76,20.79,21.8,19.92
ALLSKY_SFC_SW_DWN,2009,22.55,23.25,24.24,21.05,19.22,19.54,17.71,16.35,21.56,19.77,20.61,19.35,20.41
ALLSKY_SFC_SW_DWN,2010,21.28,20.96,20.38,20.43,19.08,16.2,14.97,15.09,19.41,20.85,19.0,21.66,19.1
ALLSKY_SFC_SW_DWN,2011,23.39,24.67,23.47,21.19,19.32,16.32,17.35,15.21,18.31,19.44,18.72,20.88,19.83
ALLSKY_SFC_SW_DWN,2012,25.31,24.11,24.7,19.41,19.45,16.34,13.08,17.73,20.82,21.47,20.06,19.26,20.13
